2004/06/21 02:54:09 Start Transaction
2004/06/21 02:54:20 Transaction RollBack
2004/06/21 02:54:20 Start Transaction
2004/06/21 02:54:30 Transaction RollBack
2004/06/21 02:54:30 Start Transaction
2004/06/21 02:54:40 Transaction RollBack
2004/06/21 02:54:40 Start Transaction
2004/06/21 02:54:51 Transaction RollBack
2004/06/21 02:54:51 Start Transaction
2004/06/21 02:55:01 Transaction RollBack
2004/06/21 02:55:01 Start Transaction
2004/06/21 02:55:11 Transaction RollBack
2004/06/21 02:55:12 Start Transaction
2004/06/21 02:55:22 Transaction RollBack
2004/06/21 02:55:22 Start Transaction
2004/06/21 02:55:32 Transaction RollBack
2004/06/21 02:55:32 Start Transaction
2004/06/21 02:55:42 Transaction RollBack
2004/06/21 02:55:43 Start Transaction
2004/06/21 02:55:53 Transaction RollBack
2004/06/21 02:55:53 Start Transaction
2004/06/21 02:56:03 Transaction RollBack
2004/06/21 02:56:03 Start Transaction
2004/06/21 02:56:13 Transaction RollBack
2004/06/21 02:56:14 Start Transaction
2004/06/21 02:56:24 Transaction RollBack
2004/06/21 02:56:24 Start Transaction
2004/06/21 02:56:34 Transaction RollBack
2004/06/21 02:56:34 Start Transaction
2004/06/21 02:56:44 Transaction RollBack
2004/06/21 02:56:45 Start Transaction
2004/06/21 02:56:55 Transaction RollBack
2004/06/21 02:56:55 Start Transaction
2004/06/21 02:57:05 Transaction RollBack
2004/06/21 02:57:05 Start Transaction
2004/06/21 02:57:15 Transaction RollBack
2004/06/21 02:57:16 Start Transaction
2004/06/21 02:57:26 Transaction RollBack
2004/06/21 02:57:26 Start Transaction
2004/06/21 02:57:36 Transaction RollBack
2004/06/21 02:57:36 Start Transaction
2004/06/21 02:57:47 Transaction RollBack
2004/06/21 02:57:47 Start Transaction
2004/06/21 02:57:57 Transaction RollBack
2004/06/21 02:57:57 Start Transaction
2004/06/21 02:58:07 Transaction RollBack
2004/06/21 02:58:07 Start Transaction
2004/06/21 02:58:18 Transaction RollBack
2004/06/21 02:58:18 Start Transaction
2004/06/21 02:58:28 Transaction RollBack
2004/06/21 02:58:28 Start Transaction
2004/06/21 02:58:38 Transaction RollBack
2004/06/21 02:58:38 Start Transaction
2004/06/21 02:58:49 Transaction RollBack
2004/06/21 02:58:49 Start Transaction
2004/06/21 02:58:59 Transaction RollBack
2004/06/21 02:58:59 Start Transaction
2004/06/21 02:59:09 Transaction RollBack
2004/06/21 02:59:09 Start Transaction
2004/06/21 02:59:20 Transaction RollBack
2004/06/21 02:59:20 Start Transaction
2004/06/21 02:59:30 Transaction RollBack
2004/06/21 02:59:30 Start Transaction
2004/06/21 02:59:40 Transaction RollBack
2004/06/21 02:59:40 Start Transaction
2004/06/21 02:59:51 Transaction RollBack
2004/06/21 02:59:51 Start Transaction
2004/06/21 03:00:01 Transaction RollBack
2004/06/21 03:00:01 Start Transaction
2004/06/21 03:00:11 Transaction RollBack
2004/06/21 03:00:11 Start Transaction
2004/06/21 03:00:22 Transaction RollBack
2004/06/21 03:00:22 Start Transaction
2004/06/21 03:00:32 Transaction RollBack
2004/06/21 03:00:32 Start Transaction
2004/06/21 03:00:42 Transaction RollBack
2004/06/21 03:00:42 Start Transaction
2004/06/21 03:00:53 Transaction RollBack
2004/06/21 03:00:53 Start Transaction
2004/06/21 03:01:03 Transaction RollBack
2004/06/21 03:01:03 Start Transaction
2004/06/21 03:01:13 Transaction RollBack
2004/06/21 03:01:13 Start Transaction
2004/06/21 03:01:24 Transaction RollBack
2004/06/21 03:01:24 Start Transaction
2004/06/21 03:01:34 Transaction RollBack
2004/06/21 03:01:34 Start Transaction
2004/06/21 03:01:44 Transaction RollBack
2004/06/21 03:01:44 Start Transaction
2004/06/21 03:01:55 Transaction RollBack
2004/06/21 03:01:55 Start Transaction
2004/06/21 03:02:05 Transaction RollBack
2004/06/21 03:02:05 Start Transaction
2004/06/21 03:02:15 Transaction RollBack
2004/06/21 03:02:15 Start Transaction
2004/06/21 03:02:26 Transaction RollBack
2004/06/21 03:02:26 Start Transaction
2004/06/21 03:02:36 Transaction RollBack
2004/06/21 03:02:36 Start Transaction
2004/06/21 03:02:46 Transaction RollBack
2004/06/21 03:02:46 Start Transaction
2004/06/21 03:02:57 Transaction RollBack
2004/06/21 03:02:57 Start Transaction
2004/06/21 03:03:07 Transaction RollBack
2004/06/21 03:03:07 Start Transaction
2004/06/21 03:03:17 Transaction RollBack
2004/06/21 03:03:17 Start Transaction
2004/06/21 03:03:28 Transaction RollBack
2004/06/21 03:03:28 Start Transaction
2004/06/21 03:03:38 Transaction RollBack
2004/06/21 03:03:38 Start Transaction
2004/06/21 03:03:48 Transaction RollBack
2004/06/21 03:03:48 Start Transaction
2004/06/21 03:03:59 Transaction RollBack
2004/06/21 03:03:59 Start Transaction
2004/06/21 03:04:09 Transaction RollBack
2004/06/21 03:04:09 Start Transaction
2004/06/21 03:04:19 Transaction RollBack
2004/06/21 03:04:19 Start Transaction
2004/06/21 03:04:30 Transaction RollBack
2004/06/21 03:04:30 Start Transaction
2004/06/21 03:04:40 Transaction RollBack
2004/06/21 03:04:40 Start Transaction
2004/06/21 03:04:50 Transaction RollBack
2004/06/21 03:04:50 Start Transaction
2004/06/21 03:05:01 Transaction RollBack
2004/06/21 03:05:01 Start Transaction
2004/06/21 03:05:11 Transaction RollBack
2004/06/21 03:05:11 Start Transaction
2004/06/21 03:05:21 Transaction RollBack
2004/06/21 03:05:21 Start Transaction
2004/06/21 03:05:32 Transaction RollBack
2004/06/21 03:05:32 Start Transaction
2004/06/21 03:05:42 Transaction RollBack
2004/06/21 03:05:42 Start Transaction
2004/06/21 03:05:52 Transaction RollBack
2004/06/21 03:05:52 Start Transaction
2004/06/21 03:06:03 Transaction RollBack
2004/06/21 03:06:03 Start Transaction
2004/06/21 03:06:13 Transaction RollBack
2004/06/21 03:06:13 Start Transaction
2004/06/21 03:06:23 Transaction RollBack
2004/06/21 03:06:23 Start Transaction
2004/06/21 03:06:34 Transaction RollBack
2004/06/21 03:06:34 Start Transaction
2004/06/21 03:06:44 Transaction RollBack
2004/06/21 03:06:44 Start Transaction
2004/06/21 03:06:54 Transaction RollBack
2004/06/21 03:06:54 Start Transaction
2004/06/21 03:07:05 Transaction RollBack
2004/06/21 03:07:05 Start Transaction
2004/06/21 03:07:15 Transaction RollBack
2004/06/21 03:07:15 Start Transaction
