2004/06/18 10:37:44 Start Transaction
2004/06/18 10:37:55 Transaction RollBack
2004/06/18 10:37:55 Start Transaction
2004/06/18 10:38:05 Transaction RollBack
2004/06/18 10:38:05 Start Transaction
2004/06/18 10:38:15 Transaction RollBack
2004/06/18 10:38:15 Start Transaction
2004/06/18 10:38:26 Transaction RollBack
2004/06/18 10:38:26 Start Transaction
2004/06/18 10:38:36 Transaction RollBack
2004/06/18 10:38:36 Start Transaction
2004/06/18 10:38:46 Transaction RollBack
2004/06/18 10:38:46 Start Transaction
2004/06/18 10:38:57 Transaction RollBack
2004/06/18 10:38:57 Start Transaction
2004/06/18 10:39:07 Transaction RollBack
2004/06/18 10:39:07 Start Transaction
2004/06/18 10:39:17 Transaction RollBack
2004/06/18 10:39:18 Start Transaction
2004/06/18 10:39:28 Transaction RollBack
2004/06/18 10:39:28 Start Transaction
2004/06/18 10:39:38 Transaction RollBack
2004/06/18 10:39:38 Start Transaction
2004/06/18 10:39:48 Transaction RollBack
2004/06/18 10:39:49 Start Transaction
2004/06/18 10:39:59 Transaction RollBack
2004/06/18 10:39:59 Start Transaction
2004/06/18 10:40:09 Transaction RollBack
2004/06/18 10:40:09 Start Transaction
2004/06/18 10:40:19 Transaction RollBack
2004/06/18 10:40:20 Start Transaction
2004/06/18 10:40:30 Transaction RollBack
2004/06/18 10:40:30 Start Transaction
2004/06/18 10:40:40 Transaction RollBack
2004/06/18 10:40:40 Start Transaction
2004/06/18 10:40:51 Transaction RollBack
2004/06/18 10:40:51 Start Transaction
2004/06/18 10:41:01 Transaction RollBack
2004/06/18 10:41:01 Start Transaction
2004/06/18 10:41:11 Transaction RollBack
2004/06/18 10:41:11 Start Transaction
2004/06/18 10:41:22 Transaction RollBack
2004/06/18 10:41:22 Start Transaction
2004/06/18 10:41:32 Transaction RollBack
2004/06/18 10:41:32 Start Transaction
2004/06/18 10:41:42 Transaction RollBack
2004/06/18 10:41:42 Start Transaction
2004/06/18 10:41:53 Transaction RollBack
2004/06/18 10:41:53 Start Transaction
2004/06/18 10:42:03 Transaction RollBack
2004/06/18 10:42:03 Start Transaction
2004/06/18 10:42:13 Transaction RollBack
2004/06/18 10:42:13 Start Transaction
2004/06/18 10:42:24 Transaction RollBack
2004/06/18 10:42:24 Start Transaction
2004/06/18 10:42:34 Transaction RollBack
2004/06/18 10:42:34 Start Transaction
2004/06/18 10:42:44 Transaction RollBack
2004/06/18 10:42:44 Start Transaction
2004/06/18 10:42:55 Transaction RollBack
2004/06/18 10:42:55 Start Transaction
2004/06/18 10:43:05 Transaction RollBack
2004/06/18 10:43:05 Start Transaction
2004/06/18 10:43:15 Transaction RollBack
2004/06/18 10:43:15 Start Transaction
2004/06/18 10:43:26 Transaction RollBack
2004/06/18 10:43:26 Start Transaction
2004/06/18 10:43:36 Transaction RollBack
2004/06/18 10:43:36 Start Transaction
2004/06/18 10:43:46 Transaction RollBack
2004/06/18 10:43:47 Start Transaction
2004/06/18 10:43:57 Transaction RollBack
2004/06/18 10:43:57 Start Transaction
2004/06/18 10:44:07 Transaction RollBack
2004/06/18 10:44:07 Start Transaction
2004/06/18 10:44:17 Transaction RollBack
2004/06/18 10:44:18 Start Transaction
2004/06/18 10:44:28 Transaction RollBack
2004/06/18 10:44:28 Start Transaction
2004/06/18 10:44:38 Transaction RollBack
2004/06/18 10:44:38 Start Transaction
2004/06/18 10:44:48 Transaction RollBack
2004/06/18 10:44:49 Start Transaction
2004/06/18 10:44:59 Transaction RollBack
2004/06/18 10:44:59 Start Transaction
2004/06/18 10:45:09 Transaction RollBack
2004/06/18 10:45:09 Start Transaction
2004/06/18 10:45:20 Transaction RollBack
2004/06/18 10:45:20 Start Transaction
2004/06/18 10:45:30 Transaction RollBack
2004/06/18 10:45:30 Start Transaction
2004/06/18 10:45:40 Transaction RollBack
2004/06/18 10:45:40 Start Transaction
2004/06/18 10:45:51 Transaction RollBack
2004/06/18 10:45:51 Start Transaction
2004/06/18 10:46:01 Transaction RollBack
2004/06/18 10:46:01 Start Transaction
2004/06/18 10:46:11 Transaction RollBack
2004/06/18 10:46:11 Start Transaction
2004/06/18 10:46:22 Transaction RollBack
2004/06/18 10:46:22 Start Transaction
2004/06/18 10:46:32 Transaction RollBack
2004/06/18 10:46:32 Start Transaction
2004/06/18 10:46:42 Transaction RollBack
2004/06/18 10:46:42 Start Transaction
2004/06/18 10:46:53 Transaction RollBack
2004/06/18 10:46:53 Start Transaction
2004/06/18 10:47:03 Transaction RollBack
2004/06/18 10:47:03 Start Transaction
2004/06/18 10:47:13 Transaction RollBack
2004/06/18 10:47:13 Start Transaction
2004/06/18 10:47:24 Transaction RollBack
2004/06/18 10:47:24 Start Transaction
2004/06/18 10:47:34 Transaction RollBack
2004/06/18 10:47:34 Start Transaction
2004/06/18 10:47:44 Transaction RollBack
2004/06/18 10:47:44 Start Transaction
2004/06/18 10:47:55 Transaction RollBack
2004/06/18 10:47:55 Start Transaction
2004/06/18 10:48:05 Transaction RollBack
2004/06/18 10:48:05 Start Transaction
2004/06/18 10:48:15 Transaction RollBack
2004/06/18 10:48:15 Start Transaction
2004/06/18 10:48:26 Transaction RollBack
2004/06/18 10:48:26 Start Transaction
2004/06/18 10:48:36 Transaction RollBack
2004/06/18 10:48:36 Start Transaction
2004/06/18 10:48:46 Transaction RollBack
2004/06/18 10:48:46 Start Transaction
2004/06/18 10:48:57 Transaction RollBack
2004/06/18 10:48:57 Start Transaction
2004/06/18 10:49:07 Transaction RollBack
2004/06/18 10:49:07 Start Transaction
2004/06/18 10:49:17 Transaction RollBack
2004/06/18 10:49:17 Start Transaction
2004/06/18 10:49:28 Transaction RollBack
2004/06/18 10:49:28 Start Transaction
2004/06/18 10:49:38 Transaction RollBack
2004/06/18 10:49:38 Start Transaction
2004/06/18 10:49:48 Transaction RollBack
2004/06/18 10:49:48 Start Transaction
2004/06/18 10:49:59 Transaction RollBack
2004/06/18 10:49:59 Start Transaction
2004/06/18 10:50:09 Transaction RollBack
2004/06/18 10:50:09 Start Transaction
2004/06/18 10:50:19 Transaction RollBack
2004/06/18 10:50:19 Start Transaction
2004/06/18 10:50:30 Transaction RollBack
2004/06/18 10:50:30 Start Transaction
2004/06/18 10:50:40 Transaction RollBack
2004/06/18 10:50:40 Start Transaction
2004/06/18 10:50:51 Transaction RollBack
2004/06/18 10:50:51 Start Transaction
2004/06/18 10:51:01 Transaction RollBack
2004/06/18 10:51:01 Start Transaction
2004/06/18 10:51:11 Transaction RollBack
2004/06/18 10:51:11 Start Transaction
2004/06/18 10:51:22 Transaction RollBack
2004/06/18 10:51:22 Start Transaction
2004/06/18 10:51:32 Transaction RollBack
2004/06/18 10:51:32 Start Transaction
2004/06/18 10:51:42 Transaction RollBack
2004/06/18 10:51:42 Start Transaction
2004/06/18 10:51:53 Transaction RollBack
2004/06/18 10:51:53 Start Transaction
2004/06/18 10:52:03 Transaction RollBack
2004/06/18 10:52:03 Start Transaction
2004/06/18 10:52:13 Transaction RollBack
2004/06/18 10:52:13 Start Transaction
2004/06/18 10:52:24 Transaction RollBack
2004/06/18 10:52:24 Start Transaction
2004/06/18 10:52:34 Transaction RollBack
2004/06/18 10:52:34 Start Transaction
2004/06/18 10:52:44 Transaction RollBack
2004/06/18 10:52:44 Start Transaction
2004/06/18 10:52:55 Transaction RollBack
2004/06/18 10:52:55 Start Transaction
2004/06/18 10:53:05 Transaction RollBack
2004/06/18 10:53:05 Start Transaction
2004/06/18 10:53:15 Transaction RollBack
2004/06/18 10:53:15 Start Transaction
2004/06/18 10:53:26 Transaction RollBack
2004/06/18 10:53:26 Start Transaction
2004/06/18 10:53:36 Transaction RollBack
2004/06/18 10:53:36 Start Transaction
2004/06/18 10:53:46 Transaction RollBack
2004/06/18 10:53:47 Start Transaction
2004/06/18 10:53:57 Transaction RollBack
2004/06/18 10:53:57 Start Transaction
2004/06/18 10:54:07 Transaction RollBack
2004/06/18 10:54:07 Start Transaction
2004/06/18 10:54:17 Transaction RollBack
2004/06/18 10:54:18 Start Transaction
2004/06/18 10:54:28 Transaction RollBack
2004/06/18 10:54:28 Start Transaction
2004/06/18 10:54:38 Transaction RollBack
2004/06/18 10:54:38 Start Transaction
2004/06/18 10:54:48 Transaction RollBack
